radial:alignment:topleft-bottomleft,pref:radial:alignment:topleft-bottomleft,radial:alignment:bottomleft-left,pref:radial:alignment:bottomleft-left,radial:alignment:topleft-left,pref:radial:alignment:topleft-left,radial:distance:close-med,pref:radial:distance:close-med,radial:distance:med-far,pref:radial:distance:med-far,radial:distance:close-far,pref:radial:distance:close-far,grid:alignment:topleft-bottomleft,pref:grid:alignment:topleft-bottomleft,grid:alignment:topleft-left,pref:grid:alignment:topleft-left,grid:alignment:bottomleft-left,pref:grid:alignment:bottomleft-left,pref:grid:distance:close-med,grid:distance:med-far,pref:grid:distance:med-far,grid:distance:close-far,pref:grid:distance:close-far,grid:distance:close-med
2,38,1,54,2,40,2,22,2,67,2,38,2,30,2,35,1,31,42,2,49,2,35,1
1,59,2,59,2,56,2,55,1,50,1,55,2,57,2,53,2,56,65,2,57,2,58,1
1,22,2,3,2,5,2,12,2,11,2,4,1,16,2,41,2,29,12,2,18,2,18,2
1,5,1,3,1,17,2,32,1,20,2,37,1,19,1,18,1,19,18,1,26,2,22,2
1,30,2,22,2,25,2,33,2,44,1,49,2,60,1,32,2,42,52,1,53,2,72,1
1,48,2,55,2,36,2,44,1,80,2,67,1,50,2,26,2,41,46,1,38,2,44,2
2,17,1,23,2,33,2,24,1,34,2,15,2,27,2,22,2,24,28,1,35,2,28,2
2,74,2,75,2,60,1,91,1,95,2,77,2,82,2,100,2,100,54,1,52,2,49,2
2,28,2,50,1,27,2,2,1,14,2,5,2,5,2,50,2,51,21,2,40,2,31,1
1,100,2,50,1,71,2,100,2,75,2,94,1,95,1,100,2,100,99,2,100,2,100,2
2,69,1,74,1,89,2,84,2,78,2,76,1,78,1,83,1,64,75,2,65,2,98,2
1,66,1,86,1,78,2,81,1,86,2,83,1,87,1,81,1,87,92,1,95,2,90,2
1,89,2,46,1,54,2,87,2,87,2,79,1,75,1,74,2,62,100,2,100,2,91,2
2,56,2,51,2,30,2,55,1,42,1,54,2,50,2,86,2,25,35,2,31,2,16,1
2,13,1,25,2,16,2,25,2,20,1,29,2,22,2,32,2,22,30,2,36,2,21,1
1,63,1,66,1,74,2,100,1,82,2,46,1,75,1,84,1,77,83,1,61,2,52,2
2,100,2,100,2,100,2,100,2,100,2,98,1,98,2,100,2,100,100,2,100,2,100,1
1,9,2,9,2,7,2,10,2,7,2,7,2,9,2,4,2,4,7,2,10,2,8,1
2,5,2,13,1,17,2,15,1,10,1,11,1,11,1,13,1,20,13,2,13,1,13,1
1,8,2,7,2,7,1,5,1,6,1,5,1,15,2,56,2,54,55,1,57,1,59,1
1,100,2,100,2,61,2,86,1,85,2,78,1,85,2,81,2,85,94,1,92,2,94,2
1,28,2,27,1,18,2,22,2,22,2,25,1,38,1,23,2,28,30,2,26,2,24,2
1,75,2,76,2,79,1,60,1,70,1,61,1,66,2,59,2,59,66,1,60,1,59,1
2,100,1,100,2,100,2,100,1,100,2,100,1,100,1,100,1,100,100,1,100,2,100,2
1,73,2,83,1,75,2,70,1,87,2,71,1,61,2,71,2,81,46,2,65,2,58,2
2,40,1,1,1,31,1,60,1,0,2,27,1,2,2,13,2,8,9,2,6,2,2,1
1,22,2,22,2,7,2,68,1,47,2,60,2,56,2,51,2,50,37,1,59,2,20,2
1,21,1,47,1,74,2,63,1,11,2,31,1,80,1,81,1,79,70,2,85,2,78,2
2,54,2,60,2,59,2,56,1,51,2,55,2,52,2,62,2,70,63,1,64,2,66,2
1,43,2,94,2,92,2,68,2,42,2,67,2,63,2,55,2,86,56,2,54,2,65,1
2,30,1,70,2,45,2,51,2,27,1,88,2,33,1,57,1,24,47,1,17,2,89,2
1,64,2,48,1,33,2,51,1,32,2,45,1,38,1,61,2,42,51,1,43,2,24,2
2,52,1,38,2,23,2,54,1,38,2,50,1,72,1,61,1,63,17,1,21,2,22,2
1,8,2,6,1,9,2,30,1,29,2,17,1,15,1,16,1,10,15,2,15,2,16,2
1,44,2,51,2,56,2,56,1,19,1,32,1,45,2,73,2,56,63,1,35,2,20,2
1,49,1,53,2,52,2,26,2,49,2,28,2,45,2,49,2,41,51,1,50,1,46,2
1,15,2,16,1,59,2,58,1,47,2,35,1,43,2,44,2,47,46,1,39,2,53,2
2,40,2,91,2,57,1,73,1,70,1,61,2,77,2,82,2,59,74,2,61,1,35,1
1,87,2,61,1,83,2,85,2,79,2,78,1,91,1,86,1,86,85,2,83,2,82,2
1,10,1,34,1,27,1,33,1,20,1,27,1,25,1,22,1,20,25,1,22,1,23,1
1,51,2,16,1,12,2,27,1,15,2,20,1,22,2,30,2,27,28,1,22,2,25,2
2,49,2,48,2,47,2,47,1,49,2,49,2,50,2,50,2,47,50,1,48,2,47,2
2,51,2,76,1,54,2,63,1,71,1,68,2,62,2,77,2,74,63,1,68,2,71,1
2,46,2,73,2,73,2,47,1,47,2,45,1,51,2,72,2,69,55,1,55,2,63,2
1,77,1,81,1,99,2,55,1,5,1,44,1,64,1,74,2,76,15,1,9,2,49,1
1,5,2,4,2,9,2,2,2,11,2,5,2,3,2,16,2,5,10,2,6,2,1,1
2,53,1,28,1,40,2,15,1,48,1,41,2,28,2,38,2,26,36,2,41,2,33,2
1,21,1,21,2,13,2,11,2,18,2,25,1,19,1,17,1,17,20,2,49,2,13,2
1,59,1,75,1,90,2,100,1,100,2,68,1,81,1,65,1,92,100,1,92,2,100,2
1,31,1,8,1,24,2,26,1,21,2,22,1,23,1,39,1,21,15,1,11,2,18,2
1,4,1,1,1,38,1,100,1,7,1,12,1,100,2,100,1,100,99,1,51,1,39,2
1,57,2,49,2,51,2,53,2,54,2,48,1,48,2,54,2,50,48,1,49,2,48,2
1,61,2,92,1,18,2,70,1,71,2,70,2,21,2,80,2,100,16,1,67,1,15,1
1,62,1,57,2,50,2,74,2,79,2,50,2,32,2,42,1,10,21,2,15,2,23,2
1,97,1,96,1,84,2,69,1,65,1,77,2,91,1,81,2,57,100,1,89,1,92,1
1,3,1,2,2,4,1,2,2,4,1,5,1,7,1,5,1,4,5,2,7,1,4,2
